Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
member,member,1.0,1.0000001192092896
member,group,0.0,0.5257627964019775
member,organization,0.4166666666666667,0.5062992572784424
member,meeting,0.6428571428571429,0.4562123715877533
member,president,0.5185185185185185,0.4491935670375824
member,participant,0.41919191919191917,0.44656842947006226
member,association,0.0,0.4397410452365875
member,position,0.0,0.4340876042842865
member,portion,0.0,0.428263783454895
member,behalf,0.4444444444444444,0.4282313287258148
member,faculty,0.0,0.425984650850296
member,resident,0.5277777777777778,0.41960451006889343
member,support,0.4365079365079365,0.41164082288742065
member,part,0.0,0.4115019738674164
member,organisation,0.4166666666666667,0.4098239541053772
member,supporter,0.35185185185185186,0.40831851959228516
member,officer,0.5396825396825397,0.40223222970962524
member,community,0.5185185185185185,0.3963010013103485
member,director,0.3611111111111111,0.3875753581523895
member,student,0.4365079365079365,0.3848058581352234
member,recipient,0.5185185185185185,0.38282153010368347
member,person,0.4444444444444444,0.3825490474700928
member,institution,0.0,0.3761412501335144
member,individual,0.0,0.3751901686191559
member,respect,0.5396825396825397,0.36991527676582336
member,head,0.47222222222222215,0.3692247271537781
member,veteran,0.6428571428571429,0.3687610626220703
member,branch,0.0,0.3685445487499237
member,parent,0.4444444444444444,0.36631956696510315
member,candidate,0.0,0.3656074106693268
member,responsibility,0.4603174603174603,0.3637542724609375
member,employee,0.5138888888888888,0.36213067173957825
member,instructor,0.4222222222222222,0.3566954731941223
member,official,0.0,0.3537867069244385
member,entity,0.4444444444444444,0.35241663455963135
member,owner,0.5777777777777778,0.35013458132743835
member,contribution,0.3333333333333333,0.3500126004219055
member,role,0.47222222222222215,0.34763866662979126
member,party,0.0,0.34505391120910645
member,organizer,0.5185185185185185,0.34490466117858887
member,user,0.611111111111111,0.344850093126297
member,guest,0.45555555555555555,0.3435276448726654
member,vote,0.47222222222222215,0.3425561487674713
member,force,0.45555555555555555,0.33882880210876465
member,award,0.45555555555555555,0.3371022343635559
member,agent,0.45555555555555555,0.33559831976890564
member,holder,0.5555555555555555,0.335575670003891
member,manager,0.6428571428571429,0.3353881239891052
member,majority,0.5277777777777778,0.3329557478427887
member,state,0.45555555555555555,0.3328045606613159
member,status,0.0,0.33210718631744385
member,family,0.4444444444444444,0.3305162489414215
member,activist,0.0,0.3295327425003052
member,list,0.0,0.32949888706207275
member,unit,0.0,0.3282284736633301
member,relationship,0.3333333333333333,0.3278399407863617
member,interest,0.5138888888888888,0.32726889848709106
member,event,0.5777777777777778,0.32674548029899597
member,congregation,0.3333333333333333,0.3265647292137146
member,honor,0.45555555555555555,0.32370197772979736
member,request,0.5396825396825397,0.32194918394088745
member,employer,0.6388888888888888,0.32089418172836304
member,broker,0.5555555555555555,0.3207574486732483
member,teacher,0.6428571428571429,0.31611505150794983
member,account,0.0,0.3158145248889923
member,donor,0.45555555555555555,0.31520897150039673
member,end,0.5,0.3135901987552643
member,charge,0.38888888888888884,0.31177181005477905
member,attorney,0.3611111111111111,0.3097211718559265
member,speaker,0.6428571428571429,0.30945107340812683
member,region,0.4444444444444444,0.30919188261032104
member,pastor,0.4444444444444444,0.3089083731174469
member,area,0.47222222222222215,0.3086211085319519
member,society,0.4365079365079365,0.30798718333244324
member,time,0.611111111111111,0.30710774660110474
member,place,0.45555555555555555,0.3065264821052551
member,session,0.4365079365079365,0.3050876557826996
member,information,0.3383838383838384,0.3049335777759552
member,deceased,0.5277777777777778,0.303878515958786
member,authority,0.4259259259259259,0.30327126383781433
member,politician,0.0,0.30241572856903076
member,website,0.6428571428571429,0.30185091495513916
member,website,0.6428571428571429,0.30185091495513916
member,professor,0.5185185185185185,0.3001677989959717
member,attendee,0.5277777777777778,0.29969316720962524
member,beneficiary,0.5934343434343434,0.29509493708610535
member,component,0.5185185185185185,0.294011652469635
member,worker,0.5555555555555555,0.29284432530403137
member,number,0.7777777777777777,0.29197612404823303
member,wife,0.47222222222222215,0.29105326533317566
member,signatory,0.4259259259259259,0.29068443179130554
member,sister,0.5555555555555555,0.29027485847473145
member,physician,0.0,0.2888766825199127
member,class,0.0,0.2887660562992096
member,opportunity,0.41919191919191917,0.2875220477581024
member,church,0.4444444444444444,0.28659096360206604
member,manner,0.6666666666666666,0.28636154532432556
member,movement,0.75,0.2861361801624298
member,assistance,0.0,0.2858743965625763
member,election,0.5277777777777778,0.2853464186191559
member,purpose,0.4365079365079365,0.2845510244369507
member,spouse,0.4444444444444444,0.28439822793006897
member,public,0.4444444444444444,0.28416696190834045
member,patient,0.4365079365079365,0.28342291712760925
member,arm,0.5,0.2816494107246399
member,practitioner,0.4166666666666667,0.2812557816505432
member,company,0.4365079365079365,0.28044062852859497
member,permission,0.48888888888888893,0.27997976541519165
member,statement,0.611111111111111,0.27925050258636475
member,help,0.47222222222222215,0.2791958749294281
member,mission,0.4365079365079365,0.27845311164855957
member,mission,0.4365079365079365,0.27845311164855957
member,coordinate,0.4222222222222222,0.2767226994037628
member,crew,0.47222222222222215,0.2763932943344116
member,artist,0.0,0.2757367193698883
member,government,0.6055555555555555,0.27525922656059265
member,entry,0.5777777777777778,0.2747483253479004
member,counsel,0.4365079365079365,0.27461445331573486
member,influence,0.4259259259259259,0.27416276931762695
member,year,0.611111111111111,0.27409377694129944
member,subject,0.5396825396825397,0.2739175260066986
member,commander,0.7037037037037037,0.2738487720489502
member,donation,0.0,0.2735685110092163
member,message,0.6428571428571429,0.27283698320388794
member,material,0.625,0.27192988991737366
member,exchange,0.5277777777777778,0.27172672748565674
member,fund,0.0,0.271686851978302
member,point,0.0,0.2708459496498108
member,nation,0.0,0.27067703008651733
member,father,0.5555555555555555,0.27053695917129517
member,lawyer,0.5555555555555555,0.2698497474193573
member,task,0.0,0.2694563865661621
member,effort,0.5555555555555555,0.2694242000579834
member,author,0.4444444444444444,0.26932641863822937
member,captain,0.0,0.26892679929733276
member,school,0.0,0.26873594522476196
member,office,0.4444444444444444,0.2680562138557434
member,page,0.47222222222222215,0.26632159948349
member,address,0.373015873015873,0.2651529610157013
member,university,0.5111111111111111,0.2650645673274994
member,troop,0.0,0.2647700309753418
member,country,0.4365079365079365,0.264741450548172
member,instance,0.4305555555555555,0.26438257098197937
member,decision,0.4305555555555555,0.2640761733055115
member,object,0.38888888888888884,0.2636827826499939
member,convention,0.4222222222222222,0.26343125104904175
member,duty,0.0,0.2618175446987152
member,duty,0.0,0.2618175446987152
member,editor,0.5555555555555555,0.26079270243644714
member,legislature,0.5050505050505051,0.26072293519973755
member,service,0.5396825396825397,0.2604612708091736
member,job,0.5,0.2602998614311218
member,retiree,0.5317460317460317,0.2593621015548706
member,governor,0.5277777777777778,0.2589459717273712
member,invitation,0.0,0.2587663531303406
member,petition,0.4305555555555555,0.25856828689575195
member,representation,0.4603174603174603,0.25847506523132324
member,level,0.5777777777777778,0.2582889199256897
member,basis,0.0,0.25668686628341675
member,rank,0.0,0.2566289007663727
member,input,0.0,0.2560878396034241
member,judge,0.45555555555555555,0.2559540271759033
member,reason,0.4444444444444444,0.2554982602596283
member,guide,0.45555555555555555,0.25344741344451904
member,earn,0.47222222222222215,0.2525826692581177
member,actor,0.45555555555555555,0.25253647565841675
member,department,0.6055555555555555,0.2520568072795868
member,access,0.4444444444444444,0.251664936542511
member,process,0.4365079365079365,0.25164273381233215
member,article,0.4365079365079365,0.2514735460281372
member,major,0.5777777777777778,0.251465380191803
member,reputation,0.4222222222222222,0.2514556348323822
member,right,0.0,0.25107380747795105
member,chance,0.4444444444444444,0.25103989243507385
member,idea,0.47222222222222215,0.2507798671722412
member,system,0.4444444444444444,0.2504691481590271
member,historian,0.4259259259259259,0.24996241927146912
member,journalist,0.4222222222222222,0.24978235363960266
member,action,0.0,0.24940936267375946
member,bank,0.0,0.24924549460411072
member,couple,0.4444444444444444,0.24818798899650574
member,residence,0.5185185185185185,0.24700142443180084
member,fact,0.0,0.24617178738117218
member,plan,0.0,0.24610911309719086
member,issue,0.45555555555555555,0.24603885412216187
member,activity,0.0,0.24547460675239563
member,producer,0.5277777777777778,0.24543282389640808
member,scholar,0.4365079365079365,0.24536429345607758
member,victim,0.0,0.24497880041599274
member,provider,0.5277777777777778,0.2446133941411972
member,database,0.5277777777777778,0.24374203383922577
member,militia,0.4365079365079365,0.24311766028404236
member,anniversary,0.5050505050505051,0.24279648065567017
member,response,0.5277777777777778,0.24254919588565826
member,researcher,0.6,0.2419866919517517
member,order,0.5777777777777778,0.24125026166439056
member,guard,0.45555555555555555,0.24094249308109283
member,occupant,0.0,0.24034982919692993
member,woman,0.45555555555555555,0.23925963044166565
member,customer,0.625,0.23913365602493286
member,principle,0.0,0.23831667006015778
member,photographer,0.4166666666666667,0.23819699883460999
member,comment,0.6428571428571429,0.2377416044473648
member,voter,0.5777777777777778,0.2368563562631607
member,spring,0.0,0.2362353503704071
member,transaction,0.41919191919191917,0.23525457084178925
member,collector,0.5185185185185185,0.2351723313331604
member,merchant,0.625,0.2349899262189865
member,aid,0.0,0.23478397727012634
member,shape,0.45555555555555555,0.2343996912240982
member,tour,0.47222222222222215,0.2319706678390503
member,course,0.38888888888888884,0.2316509187221527
member,report,0.5555555555555555,0.23152080178260803
member,ticket,0.4444444444444444,0.2305459976196289
member,friendship,0.3444444444444444,0.22948837280273438
member,mother,0.6666666666666666,0.22941261529922485
member,audience,0.5277777777777778,0.22932569682598114
member,publication,0.41919191919191917,0.22878356277942657
member,return,0.5555555555555555,0.22854071855545044
member,soldier,0.5396825396825397,0.22824952006340027
member,witness,0.4365079365079365,0.22810745239257812
member,rest,0.47222222222222215,0.22809956967830658
member,publisher,0.611111111111111,0.22759030759334564
member,buyer,0.5777777777777778,0.22743205726146698
member,pair,0.47222222222222215,0.22740580141544342
member,degree,0.5555555555555555,0.2270612269639969
member,care,0.47222222222222215,0.22694559395313263
member,jurisdiction,0.4166666666666667,0.22647278010845184
member,bill,0.0,0.22636421024799347
member,issuer,0.5555555555555555,0.22619064152240753
member,asset,0.45555555555555555,0.2257978320121765
member,set,0.5,0.2257184386253357
member,child,0.0,0.22569911181926727
member,conversation,0.5,0.22532330453395844
member,cause,0.45555555555555555,0.22531099617481232
member,cause,0.45555555555555555,0.22531099617481232
member,missionary,0.5111111111111111,0.2250950187444687
member,pension,0.4365079365079365,0.22474074363708496
member,vessel,0.5555555555555555,0.22459784150123596
member,thing,0.0,0.22423335909843445
member,firefighter,0.3383838383838384,0.2238040715456009
member,priest,0.4444444444444444,0.2236635684967041
member,master,0.6666666666666666,0.2226020097732544
member,record,0.5555555555555555,0.2224341779947281
