Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
research,research,1.0,1.0
research,study,0.44166666666666665,0.7532761096954346
research,researcher,0.9866666666666667,0.7026625871658325
research,knowledge,0.41203703703703703,0.550920307636261
research,report,0.625,0.5446131229400635
research,project,0.6011904761904762,0.5388942956924438
research,faculty,0.4226190476190476,0.5367658734321594
research,information,0.4772727272727273,0.5305386781692505
research,focus,0.44166666666666665,0.5273606777191162
research,professor,0.6481481481481481,0.525956392288208
research,funding,0.0,0.5240213871002197
research,university,0.44722222222222224,0.5221168994903564
research,overview,0.47222222222222215,0.5128212571144104
research,impact,0.5277777777777778,0.4909893274307251
research,interest,0.47222222222222215,0.4876408278942108
research,resource,0.825,0.48506638407707214
research,effort,0.5277777777777778,0.46856141090393066
research,field,0.44166666666666665,0.4666918218135834
research,department,0.4666666666666666,0.4606950879096985
research,human,0.44166666666666665,0.46060940623283386
research,publication,0.3106060606060606,0.4599474370479584
research,student,0.3452380952380952,0.45924094319343567
research,major,0.5499999999999999,0.4575694799423218
research,contribution,0.40277777777777773,0.4520178437232971
research,investment,0.5583333333333333,0.4498605728149414
research,public,0.4305555555555555,0.44903698563575745
research,organization,0.47222222222222215,0.4486198425292969
research,objective,0.49074074074074076,0.4455844461917877
research,opportunity,0.4053030303030303,0.4449564218521118
research,intelligence,0.5416666666666666,0.4416944682598114
research,help,0.4583333333333333,0.44041022658348083
research,community,0.0,0.43641337752342224
research,risk,0.5833333333333334,0.43459367752075195
research,literacy,0.5833333333333334,0.4337002635002136
research,assistance,0.44722222222222224,0.4320429563522339
research,basis,0.3833333333333333,0.42697733640670776
research,disease,0.5238095238095238,0.42396655678749084
research,context,0.4226190476190476,0.42316070199012756
research,article,0.4900793650793651,0.4225049614906311
research,fund,0.0,0.4224327504634857
research,introduction,0.47222222222222215,0.42222627997398376
research,fact,0.4583333333333333,0.4172699451446533
research,attention,0.41203703703703703,0.417079359292984
research,course,0.625,0.41652214527130127
research,purpose,0.6011904761904762,0.4161125719547272
research,scholar,0.6011904761904762,0.4160252809524536
research,success,0.4900793650793651,0.4147154986858368
research,topic,0.44166666666666665,0.41355064511299133
research,process,0.6071428571428571,0.41034042835235596
research,practice,0.5833333333333334,0.4103220999240875
research,institution,0.4053030303030303,0.40989071130752563
research,aid,0.0,0.4096767008304596
research,mission,0.4226190476190476,0.40893611311912537
research,mission,0.4226190476190476,0.40893611311912537
research,organisation,0.4305555555555555,0.408608078956604
research,activity,0.0,0.4076045751571655
research,consumer,0.5833333333333334,0.40676847100257874
research,idea,0.5833333333333334,0.4067336916923523
research,employment,0.48333333333333334,0.40418267250061035
research,society,0.3452380952380952,0.4012071490287781
research,company,0.4226190476190476,0.40096279978752136
research,energy,0.5138888888888888,0.398913711309433
research,care,0.5972222222222222,0.39785388112068176
research,government,0.44722222222222224,0.39720866084098816
research,conclusion,0.31666666666666665,0.3954111635684967
research,role,0.5833333333333334,0.3952907919883728
research,association,0.43813131313131315,0.3950701951980591
research,paper,0.5472222222222222,0.39446571469306946
research,use,0.47222222222222215,0.3910883367061615
research,environment,0.3106060606060606,0.39030829071998596
research,physician,0.4583333333333333,0.3882528245449066
research,market,0.5138888888888888,0.38734763860702515
research,website,0.6011904761904762,0.38614439964294434
research,website,0.6011904761904762,0.38614439964294434
research,individual,0.4083333333333334,0.3850451111793518
research,plan,0.4583333333333333,0.38395020365715027
research,treatment,0.5648148148148148,0.3839426338672638
research,specialization,0.42857142857142855,0.3828146159648895
research,classroom,0.4583333333333333,0.38061150908470154
research,director,0.5833333333333334,0.380454421043396
research,portfolio,0.41203703703703703,0.3794812262058258
research,database,0.4166666666666667,0.3792431652545929
research,author,0.4305555555555555,0.3791538178920746
research,world,0.44166666666666665,0.37761303782463074
research,influence,0.49074074074074076,0.37393856048583984
research,news,0.5833333333333334,0.37290987372398376
research,degree,0.5138888888888888,0.37262213230133057
research,life,0.4583333333333333,0.37074652314186096
research,decade,0.5138888888888888,0.36837202310562134
research,subject,0.4900793650793651,0.36792272329330444
research,outcome,0.3452380952380952,0.3675225079059601
research,review,0.625,0.3672543466091156
research,book,0.0,0.3648601174354553
research,relationship,0.611111111111111,0.3642551302909851
