CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
supplier,supplier,1.0,1.0
supplier,manufacturer,0.4305555555555555,0.8136760592460632
supplier,supply,0.9097222222222223,0.6437413692474365
supplier,company,0.4226190476190476,0.5933149456977844
supplier,product,0.3452380952380952,0.5807916522026062
supplier,product,0.3452380952380952,0.5807916522026062
supplier,provider,0.6666666666666666,0.5791832208633423
supplier,customer,0.5833333333333334,0.5656163692474365
supplier,equipment,0.5648148148148148,0.5589449405670166
supplier,specialty,0.5648148148148148,0.4789762496948242
supplier,specialty,0.5648148148148148,0.4789762496948242
supplier,buyer,0.6583333333333333,0.4735501706600189
supplier,shop,0.5833333333333334,0.46382737159729004
supplier,seller,0.75,0.46187853813171387
supplier,contractor,0.4083333333333334,0.4577384889125824
supplier,purchase,0.47222222222222215,0.454543799161911
supplier,consumer,0.6666666666666666,0.452511727809906
supplier,sell,0.5833333333333334,0.44549259543418884
supplier,brand,0.0,0.4449005126953125
supplier,market,0.4305555555555555,0.4437244236469269
supplier,quantity,0.5,0.43936631083488464
supplier,quantity,0.5,0.43936631083488464
supplier,hardware,0.3333333333333333,0.4247192442417145
supplier,provide,0.6011904761904762,0.4172404408454895
supplier,price,0.6583333333333333,0.4123438000679016
supplier,price,0.6583333333333333,0.4123438000679016
supplier,cost,0.4583333333333333,0.40652409195899963
supplier,distribution,0.4305555555555555,0.40271276235580444
supplier,service,0.6011904761904762,0.4024743139743805
supplier,store,0.5499999999999999,0.3938864767551422
supplier,merchant,0.0,0.393637090921402
supplier,furniture,0.5648148148148148,0.3924863934516907
supplier,trade,0.44166666666666665,0.38910213112831116
supplier,trade,0.44166666666666665,0.38910213112831116
supplier,order,0.5499999999999999,0.386259526014328
supplier,source,0.625,0.37589311599731445
supplier,source,0.625,0.37589311599731445
supplier,plant,0.5499999999999999,0.3755159080028534
supplier,contract,0.4166666666666667,0.3721652328968048
supplier,software,0.47222222222222215,0.3688943684101105
supplier,trader,0.5277777777777778,0.368042916059494
supplier,broker,0.5277777777777778,0.3617144227027893
supplier,broker,0.5277777777777778,0.3617144227027893
supplier,invoice,0.5119047619047619,0.3600316643714905
supplier,component,0.49074074074074076,0.3557048738002777
supplier,producer,0.5833333333333334,0.3504028618335724
supplier,choice,0.5277777777777778,0.34334540367126465
supplier,investment,0.31666666666666665,0.34111088514328003
supplier,employee,0.5833333333333334,0.33849379420280457
supplier,sale,0.7375,0.3366532623767853
supplier,employer,0.6666666666666666,0.3352739214897156
supplier,employer,0.6666666666666666,0.3352739214897156
supplier,material,0.5,0.3330739438533783
supplier,material,0.5,0.3330739438533783
supplier,acquire,0.6071428571428571,0.32913723587989807
supplier,major,0.44166666666666665,0.32877328991889954
supplier,information,0.3106060606060606,0.3286878168582916
supplier,process,0.5119047619047619,0.32796135544776917
supplier,acquisition,0.4772727272727273,0.3259049654006958
supplier,transportation,0.42857142857142855,0.32534781098365784
supplier,holder,0.625,0.3252580761909485
supplier,bidder,0.5277777777777778,0.32176920771598816
supplier,department,0.44722222222222224,0.3180443346500397
supplier,ingredient,0.44722222222222224,0.31352490186691284
supplier,item,0.0,0.31296512484550476
supplier,item,0.0,0.31296512484550476
supplier,request,0.5119047619047619,0.31280484795570374
supplier,distribute,0.4666666666666666,0.3127376437187195
supplier,organisation,0.40277777777777773,0.3118380308151245
supplier,printer,0.6904761904761904,0.3090547025203705
supplier,establish,0.5694444444444444,0.30854523181915283
supplier,resource,0.5833333333333334,0.3055453300476074
supplier,construction,0.5277777777777778,0.3053918778896332
supplier,portfolio,0.5694444444444444,0.30471816658973694
supplier,manager,0.5119047619047619,0.3044579029083252
supplier,manager,0.5119047619047619,0.3044579029083252
