hasOwnership	owner.ttl
contains	inventory.ttl
itemID	inventory.ttl
itemName	inventory.ttl
itemQuantity	inventory.ttl
warehouseID	inventory.ttl
hasAge	slaveowner.ttl
hasName	slaveowner.ttl
owns	slaveowner.ttl
hasWife	wife.ttl
isWifeOf	wife.ttl
containsBuilding	land.ttl
hasArea	land.ttl
hasHeight	land.ttl
hasOccupants	land.ttl
isCultivated	land.ttl
isResidential	land.ttl
hasCaptain	ship.ttl
hasCrew	ship.ttl
hasPassenger	ship.ttl
operatedBy	ship.ttl
hasDataElement	data.ttl
hasDataType	data.ttl
hasDateValue	data.ttl
hasNumericValue	data.ttl
hasStringValue	data.ttl
hasValue	data.ttl
hasEndTime	hazardevent.ttl
hasEventType	hazardevent.ttl
hasLocation	hazardevent.ttl
hasSeverity	hazardevent.ttl
hasStartTime	hazardevent.ttl
bornIn	person.ttl
hasAge	person.ttl
hasGender	person.ttl
hasName	person.ttl
hasCause	wildfires.ttl
hasEffect	wildfires.ttl
hasLocation	wildfires.ttl
hasResponse	wildfires.ttl
belongsTo	member.ttl
endMembershipDate	member.ttl
startMembershipDate	member.ttl
endDate	membership.ttl
firstName	membership.ttl
hasMembership	membership.ttl
lastName	membership.ttl
memberID	membership.ttl
startDate	membership.ttl
hasCause	fire.ttl
hasEffect	fire.ttl
assignedBy	godfather.ttl
followsReligion	godfather.ttl
hasGodfather	godfather.ttl
marriedTo	godfather.ttl
parentOf	godfather.ttl
hasActor	action.ttl
hasLocation	action.ttl
hasTime	action.ttl
bornOn	daughter.ttl
hasDaughter	daughter.ttl
isDaughterOf	daughter.ttl
hasSurname	surname.ttl
part_of_week	day.ttl
hasIdentifier	entity.ttl
hasProperty	entity.ttl
hasType	entity.ttl
linkedEntity	entity.ttl
hasDuration	storm.ttl
hasIntensity	storm.ttl
hasType	storm.ttl
occursInRegion	storm.ttl
hasArrivalPlace	arrival.ttl
hasArrivalTime	arrival.ttl
hasArrivingEntity	arrival.ttl
hasValue	value.ttl
measuredBy	value.ttl
affectedArea	flood.ttl
cause	flood.ttl
duration	flood.ttl
severity	flood.ttl
hasCropType	plantation.ttl
hasLocation	plantation.ttl
hasYearEstablished	plantation.ttl
hasowner	plantation.ttl
buildYear	ships.ttl
builder	ships.ttl
hasType	ships.ttl
length	ships.ttl
name	ships.ttl
ownedBy	ships.ttl
owns	ships.ttl
hasEndDate	relationship.ttl
hasPersonA	relationship.ttl
hasPersonB	relationship.ttl
hasRelationshipStatus	relationship.ttl
hasRelationshipType	relationship.ttl
hasStartDate	relationship.ttl
birthYear	descendant.ttl
deathYear	descendant.ttl
gender	descendant.ttl
hasChild	descendant.ttl
hasFather	descendant.ttl
hasMother	descendant.ttl
name	descendant.ttl
attribute	attribute.ttl
isMarriedTo	marriage.ttl
genderIdentity	gender.ttl
hasGender	gender.ttl
createdIn	registry.ttl
entryData	registry.ttl
entryID	registry.ttl
entryInRegistry	registry.ttl
registrationDate	registry.ttl
registryID	registry.ttl
registryName	registry.ttl
hasFounder	religion.ttl
