Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
Arm	2	['Body', 'Hand']	1	['body']	3
BodyPart	3	['Body', 'Eye', 'Head']	1	['arter']	4
Head	2	['Body', 'Head']	1	['head']	3
Human	17	['Back', 'Body', 'Child', 'Eye', 'Face', 'Father', 'Girl', 'Guy', 'Hand', 'Head', 'Man', 'Mother', 'Others', 'Parent', 'Power', 'Right', 'Woman']	4	['life', 'manumission', 'right', 'woman']	21
Resource	46	['Back', 'Body', 'Case', 'Change', 'City', 'Community', 'End', 'Fact', 'Father', 'Force', 'Friend', 'Government', 'Group', 'History', 'Home', 'House', 'Idea', 'Information', 'Job', 'Kid', 'Law', 'Level', 'Lot', 'Loveseat', 'Man', 'Member', 'Moment', 'Morning', 'Night', 'Part', 'Party', 'Power', 'President', 'Question', 'Reason', 'Result', 'Right', 'Side', 'Study', 'System', 'Team', 'War', 'Water', 'Way', 'Week', 'Year']	47	['abolition', 'activist', 'anniversary', 'arrival', 'arter', 'behalf', 'circumstance', 'contract', 'controversy', 'damage', 'editor', 'effect', 'enslavement', 'escape', 'foot', 'governor', 'half', 'head', 'image', 'knowledge', 'list', 'loss', 'marriage', 'material', 'mean', 'merchant', 'mission', 'pair', 'party', 'permission', 'piece', 'politician', 'portion', 'possession', 'public', 'reputation', 'resource', 'result', 'return', 'spring', 'statement', 'testimony', 'thought', 'use', 'view', 'water', 'year']	93
Torso	1	['Body']	1	['body']	2
Datetime	27	['Art', 'Business', 'Case', 'Change', 'Company', 'Day', 'End', 'Fact', 'Friend', 'History', 'Idea', 'Information', 'Issue', 'Job', 'Law', 'Moment', 'Night', 'Part', 'Party', 'President', 'Research', 'Result', 'Service', 'Time', 'War', 'Woman', 'Work']	44	['account', 'arrest', 'arrival', 'assault', 'attempt', 'baby', 'bond', 'ceremony', 'change', 'church', 'circumstance', 'class', 'comment', 'damage', 'death', 'end', 'escape', 'exchange', 'governor', 'history', 'infant', 'instance', 'kidnapping', 'level', 'life', 'loss', 'mail', 'marriage', 'meeting', 'opportunity', 'origin', 'party', 'period', 'photo', 'process', 'project', 'purchase', 'recollection', 'release', 'request', 'service', 'success', 'task', 'time']	71
Entity	25	['Case', 'Change', 'Education', 'End', 'Force', 'Hour', 'Information', 'Issue', 'Kind', 'Level', 'Life', 'Lot', 'Money', 'Name', 'Others', 'Power', 'Question', 'Reason', 'Right', 'Service', 'Side', 'State', 'War', 'Way', 'Year']	13	['association', 'background', 'branch', 'charge', 'condition', 'debt', 'exchange', 'honor', 'influence', 'issue', 'lack', 'medium', 'supporter']	38
Integer	75	['Art', 'Back', 'Book', 'Business', 'Car', 'Chair', 'Child', 'City', 'Community', 'Company', 'Couch', 'Country', 'Day', 'Education', 'Face', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'Hand', 'Head', 'Health', 'Home', 'Hour', 'House', 'Idea', 'Issue', 'Job', 'Kid', 'Law', 'Level', 'Life', 'Line', 'Lot', 'Loveseat', 'Man', 'Member', 'Minute', 'Month', 'Mother', 'Number', 'Office', 'Others', 'Parent', 'Part', 'Party', 'People', 'Person', 'Place', 'Power', 'President', 'Problem', 'Program', 'Result', 'Room', 'School', 'Sofa', 'State', 'Story', 'Student', 'Study', 'Teacher', 'Team', 'Time', 'War', 'Way', 'Week', 'Woman', 'Word', 'Work', 'World', 'Year']	100	['ability', 'actor', 'adulthood', 'attack', 'attorney', 'audience', 'bibliography', 'book', 'boy', 'building', 'cabin', 'camp', 'captain', 'carriage', 'census', 'chef', 'coast', 'company', 'country', 'county', 'crowd', 'damage', 'decade', 'desire', 'enslavement', 'fugitive', 'genius', 'girl', 'gospel', 'governor', 'guest', 'half', 'hero', 'home', 'hour', 'household', 'image', 'individual', 'island', 'issue', 'jury', 'laborer', 'land', 'level', 'list', 'majority', 'man', 'meal', 'monument', 'movement', 'nation', 'novel', 'obituary', 'officer', 'overseer', 'paper', 'party', 'passenger', 'pension', 'people', 'person', 'photo', 'piece', 'plan', 'poem', 'population', 'portion', 'prisoner', 'publication', 'purchase', 'reader', 'rebellion', 'regiment', 'region', 'resident', 'review', 'road', 'scholar', 'seamstress', 'servant', 'settlement', 'speaker', 'star', 'state', 'support', 'supporter', 'tale', 'tavern', 'teacher', 'town', 'trade', 'transportation', 'troop', 'vessel', 'veteran', 'village', 'woman', 'word', 'work', 'worker']	175
Issue	1	['Issue']	2	['activism', 'issue']	3
Langstring	8	['Game', 'Issue', 'Kid', 'Problem', 'Room', 'Thing', 'War', 'Way']	3	['material', 'prisoner', 'trader']	11
