hasHead	[3, ['Body', 'Government', 'Head']]
hasPart	[15, ['Air', 'Back', 'Body', 'Eye', 'Face', 'Hand', 'Head', 'Home', 'Kind', 'Morning', 'Part', 'Program', 'System', 'Thing', 'World']]
isPartOf	[24, ['Body', 'City', 'Eye', 'Group', 'Hand', 'History', 'Hour', 'Law', 'Moment', 'Morning', 'Night', 'Number', 'Office', 'Part', 'Place', 'Program', 'Room', 'State', 'Study', 'System', 'Thing', 'Time', 'Way', 'World']]
assignedTo	[2, ['Case', 'Issue']]
description	[17, ['Case', 'Fact', 'Group', 'Idea', 'Issue', 'Job', 'Kind', 'Moment', 'Others', 'Part', 'Problem', 'Program', 'Research', 'Service', 'Thing', 'Time', 'Work']]
dueDate	[2, ['Issue', 'Research']]
hasDateCreated	[2, ['Idea', 'Issue']]
hasDeadline	[3, ['Issue', 'Team', 'Work']]
hasDescription	[13, ['Case', 'Fact', 'History', 'Idea', 'Issue', 'Job', 'Level', 'Moment', 'Part', 'Problem', 'Program', 'Story', 'Thing']]
hasID	[6, ['Case', 'Issue', 'Member', 'Student', 'Study', 'Teacher']]
hasId	[4, ['Fact', 'Issue', 'Problem', 'Program']]
hasName	[60, ['Area', 'Art', 'Book', 'Business', 'Child', 'City', 'Community', 'Company', 'Country', 'Day', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'Health', 'History', 'Home', 'House', 'Idea', 'Issue', 'Kid', 'Kind', 'Law', 'Life', 'Man', 'Member', 'Moment', 'Month', 'Mother', 'Name', 'Office', 'Others', 'Parent', 'Party', 'People', 'Person', 'Place', 'President', 'Program', 'Research', 'Room', 'School', 'Service', 'State', 'Story', 'Student', 'Study', 'System', 'Teacher', 'Team', 'Thing', 'War', 'Way', 'Week', 'Woman', 'Work', 'World']]
hasSeverity	[3, ['Health', 'Issue', 'Problem']]
hasStatus	[3, ['Case', 'Issue', 'Law']]
hasTitle	[15, ['Art', 'Book', 'Case', 'Game', 'Idea', 'Information', 'Issue', 'Job', 'Law', 'Problem', 'Question', 'Research', 'Story', 'Study', 'Work']]
id	[9, ['Case', 'Issue', 'Lot', 'Member', 'Others', 'Part', 'Problem', 'Student', 'System']]
isOpen	[3, ['Case', 'Door', 'Issue']]
isRelatedTo	[4, ['Case', 'Idea', 'Issue', 'Lot']]
personName	[4, ['Case', 'Community', 'Company', 'Issue']]
status	[2, ['Case', 'Issue']]
title	[13, ['Art', 'Book', 'Case', 'Game', 'Information', 'Issue', 'Job', 'Law', 'Research', 'Story', 'Study', 'Time', 'Work']]
abstract	[2, ['Art', 'Research']]
belongsTo	[17, ['Art', 'Case', 'Community', 'Eye', 'Family', 'Hand', 'History', 'Lot', 'Member', 'Part', 'President', 'Research', 'Result', 'Room', 'School', 'State', 'Study']]
employs	[4, ['Business', 'Research', 'School', 'Work']]
endDate	[10, ['Art', 'Case', 'End', 'Job', 'Moment', 'President', 'Research', 'Team', 'War', 'Work']]
hasAuthor	[7, ['Art', 'Book', 'Idea', 'Information', 'Program', 'Research', 'Story']]
hasEndDate	[8, ['Case', 'End', 'History', 'Job', 'Program', 'Research', 'War', 'Work']]
hasPublication	[2, ['Research', 'Study']]
hasPublicationDate	[3, ['Book', 'Information', 'Research']]
hasResearcher	[2, ['Research', 'Study']]
hasStartDate	[7, ['Case', 'History', 'Job', 'Program', 'Research', 'War', 'Work']]
hasSubject	[7, ['Case', 'Education', 'Fact', 'Information', 'Research', 'Study', 'Teacher']]
hasTopic	[2, ['Research', 'Study']]
inField	[2, ['Job', 'Research']]
isAbout	[3, ['Fact', 'Information', 'Research']]
name	[50, ['Art', 'Book', 'Business', 'Child', 'City', 'Community', 'Company', 'Country', 'Education', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'History', 'Information', 'Job', 'Kid', 'Kind', 'Law', 'Life', 'Man', 'Member', 'Mother', 'Office', 'Others', 'Part', 'Party', 'People', 'Person', 'Place', 'Problem', 'Program', 'Research', 'Room', 'School', 'Service', 'State', 'Story', 'Student', 'Study', 'System', 'Teacher', 'Team', 'Thing', 'Way', 'Work', 'World']]
publishedIn	[2, ['Book', 'Research']]
researcher	[2, ['Research', 'Study']]
resultsIn	[3, ['Change', 'Force', 'Research']]
startDate	[10, ['Art', 'Case', 'End', 'Job', 'Moment', 'President', 'Research', 'Team', 'War', 'Work']]
studies	[5, ['Education', 'Research', 'School', 'Student', 'Study']]
uses	[5, ['Office', 'Research', 'Service', 'Study', 'War']]
hasLength	[6, ['Line', 'Night', 'Side', 'Sofa', 'Way', 'Word']]
relatedTo	[4, ['Fact', 'Law', 'Others', 'Side']]
age	[18, ['Child', 'Community', 'Education', 'Family', 'Friend', 'Girl', 'Kid', 'Man', 'Member', 'Mother', 'Others', 'Parent', 'Party', 'People', 'Person', 'School', 'Student', 'Teacher']]
attends	[6, ['Education', 'Kid', 'Others', 'School', 'Student', 'Study']]
gender	[8, ['Child', 'Community', 'Family', 'Kid', 'Others', 'People', 'Person', 'Student']]
groupName	[3, ['Group', 'Member', 'Others']]
hasAge	[26, ['Child', 'Community', 'Company', 'Family', 'Friend', 'Girl', 'Government', 'Group', 'Guy', 'Health', 'Home', 'Idea', 'Kid', 'Life', 'Man', 'Member', 'Mother', 'Others', 'Parent', 'People', 'Person', 'Student', 'Teacher', 'Woman', 'Work', 'World']]
hasColor	[10, ['Car', 'Chair', 'Couch', 'Door', 'Eye', 'Face', 'Loveseat', 'Others', 'Sofa', 'Thing']]
hasLocation	[24, ['Area', 'Back', 'Business', 'Change', 'Community', 'Company', 'Girl', 'Guy', 'History', 'Home', 'Job', 'Law', 'Lot', 'Moment', 'Office', 'Others', 'Party', 'Place', 'Service', 'Story', 'Student', 'Study', 'War', 'Work']]
hasManufacturer	[6, ['Car', 'Couch', 'Loveseat', 'Others', 'Part', 'Sofa']]
hasNationality	[5, ['Man', 'Others', 'People', 'President', 'Woman']]
hasOccupation	[8, ['Guy', 'Man', 'Mother', 'Others', 'People', 'Person', 'Woman', 'Work']]
hasShape	[4, ['Eye', 'Face', 'Others', 'Thing']]
hasSpecies	[2, ['Life', 'Others']]
interactsWith	[2, ['Others', 'System']]
livesIn	[7, ['Girl', 'Guy', 'Home', 'Others', 'People', 'Person', 'World']]
location	[16, ['Art', 'Community', 'Company', 'Friend', 'History', 'Job', 'Lot', 'Office', 'Others', 'Party', 'Place', 'School', 'Service', 'Team', 'War', 'Work']]
manufacturer	[6, ['Car', 'Chair', 'Couch', 'Door', 'Others', 'Part']]
memberOf	[8, ['Child', 'Community', 'Group', 'Member', 'Others', 'School', 'Team', 'World']]
provides	[16, ['Air', 'Business', 'Education', 'Head', 'Health', 'Information', 'Man', 'Money', 'Others', 'Part', 'People', 'Reason', 'School', 'Service', 'System', 'Water']]
hasDay	[3, ['Day', 'Week', 'Year']]
hasEvent	[7, ['Community', 'Day', 'History', 'Moment', 'Party', 'Reason', 'Year']]
hasMonth	[2, ['Month', 'Year']]
hasYear	[4, ['Art', 'Car', 'Law', 'Year']]
number	[2, ['Room', 'Year']]
year	[3, ['Art', 'Car', 'Year']]
birthDate	[8, ['Art', 'Book', 'Company', 'Family', 'History', 'Life', 'People', 'Person']]
deathDate	[5, ['Art', 'Book', 'Family', 'History', 'Life']]
hasBeginning	[3, ['Life', 'Moment', 'Time']]
hasChild	[11, ['Child', 'Family', 'Father', 'Guy', 'Life', 'Man', 'Mother', 'Parent', 'People', 'Person', 'Woman']]
hasEnd	[7, ['End', 'Life', 'Line', 'Moment', 'Night', 'Time', 'Way']]
hasForm	[2, ['Life', 'Water']]
hasParent	[10, ['Child', 'Family', 'Girl', 'Kid', 'Life', 'Man', 'Mother', 'Parent', 'People', 'Person']]
hasSibling	[6, ['Child', 'Family', 'Kid', 'Life', 'Man', 'Person']]
brand	[3, ['Couch', 'Loveseat', 'Sofa']]
color	[8, ['Car', 'Couch', 'Door', 'Eye', 'Face', 'Loveseat', 'Room', 'Sofa']]
depth	[3, ['Couch', 'Loveseat', 'Water']]
dimensions	[2, ['Couch', 'Sofa']]
hasBrand	[3, ['Car', 'Couch', 'Sofa']]
hasCushion	[2, ['Couch', 'Sofa']]
hasDimension	[4, ['Couch', 'Door', 'Loveseat', 'Sofa']]
hasDimensions	[2, ['Couch', 'Loveseat']]
hasMaterial	[6, ['Chair', 'Couch', 'Door', 'Loveseat', 'Money', 'Sofa']]
hasPrice	[9, ['Car', 'Chair', 'Company', 'Couch', 'Game', 'House', 'Lot', 'Service', 'Sofa']]
hasSize	[11, ['Area', 'Couch', 'Eye', 'Face', 'Home', 'Lot', 'Loveseat', 'Part', 'Room', 'Sofa', 'Thing']]
hasStyle	[5, ['Art', 'Chair', 'Couch', 'Loveseat', 'Sofa']]
hasType	[11, ['Area', 'Couch', 'Home', 'Information', 'Kind', 'Place', 'Question', 'Room', 'Service', 'Water', 'Way']]
hasUpholstery	[2, ['Couch', 'Loveseat']]
height	[3, ['Couch', 'Loveseat', 'Man']]
isUpholstered	[2, ['Couch', 'Loveseat']]
length	[5, ['Area', 'Couch', 'Line', 'Way', 'Word']]
material	[6, ['Chair', 'Couch', 'Door', 'Loveseat', 'Money', 'Sofa']]
model	[2, ['Car', 'Couch']]
size	[9, ['Couch', 'Eye', 'Group', 'Lot', 'Loveseat', 'Number', 'Room', 'Sofa', 'World']]
style	[3, ['Art', 'Couch', 'Sofa']]
width	[3, ['Area', 'Couch', 'Loveseat']]
area	[6, ['City', 'Country', 'House', 'Lot', 'Room', 'World']]
capacity	[2, ['Power', 'Room']]
hasArea	[10, ['Area', 'City', 'Country', 'Home', 'House', 'Lot', 'Place', 'Room', 'State', 'World']]
hasCapacity	[2, ['Lot', 'Room']]
hasDoor	[3, ['Home', 'House', 'Room']]
hasFunction	[4, ['Eye', 'Hand', 'Room', 'System']]
hasFurniture	[3, ['Home', 'Office', 'Room']]
hasNumber	[6, ['Hour', 'Law', 'Level', 'Minute', 'Room', 'Week']]
hasRoom	[4, ['Home', 'House', 'Office', 'Room']]
hasWindow	[3, ['Home', 'House', 'Room']]
isLocatedIn	[9, ['City', 'Community', 'Company', 'Country', 'House', 'Place', 'Room', 'State', 'World']]
isOccupied	[2, ['House', 'Room']]
locatedIn	[13, ['Art', 'City', 'Community', 'Company', 'Door', 'Government', 'Home', 'Office', 'Place', 'Room', 'State', 'Team', 'World']]
roomType	[2, ['House', 'Room']]
type	[5, ['Change', 'Force', 'Question', 'Room', 'Service']]
endtime	[2, ['End', 'Morning']]
endsAt	[4, ['Day', 'Morning', 'Night', 'War']]
follows	[2, ['Law', 'Morning']]
hasActivity	[4, ['Community', 'Day', 'Morning', 'Night']]
hasEndTime	[11, ['Business', 'Change', 'Day', 'End', 'Moment', 'Morning', 'Night', 'Result', 'Time', 'War', 'Work']]
hasMorning	[2, ['Day', 'Morning']]
hasStartTime	[10, ['Business', 'Change', 'Day', 'Moment', 'Morning', 'Night', 'Result', 'Time', 'War', 'Work']]
includes	[2, ['Morning', 'Office']]
isPartOfDay	[3, ['Hour', 'Morning', 'Night']]
startsAt	[3, ['Day', 'Morning', 'Night']]
startsWith	[2, ['Morning', 'Time']]
time	[2, ['Moment', 'Morning']]
address	[9, ['Company', 'Home', 'House', 'Information', 'Lot', 'Office', 'Party', 'People', 'Person']]
city	[5, ['Company', 'Home', 'Party', 'Person', 'Place']]
date	[5, ['Community', 'End', 'History', 'Moment', 'Party']]
hasBirthDate	[4, ['Art', 'Family', 'Party', 'Woman']]
hasDate	[10, ['Day', 'End', 'Fact', 'History', 'Idea', 'Information', 'Moment', 'Party', 'Result', 'War']]
hasDateTime	[3, ['Moment', 'Party', 'Time']]
hasLeader	[6, ['Community', 'Government', 'Group', 'Party', 'Team', 'War']]
hasMember	[7, ['Community', 'Family', 'Government', 'Group', 'Member', 'Party', 'Team']]
hasTheme	[2, ['Party', 'Story']]
hasTime	[8, ['Change', 'Day', 'End', 'Moment', 'Party', 'Result', 'Time', 'Work']]
member	[5, ['Community', 'Family', 'Group', 'Party', 'Team']]
organizedBy	[2, ['Community', 'Party']]
participatesIn	[5, ['Community', 'Kid', 'Party', 'Team', 'War']]
provide	[4, ['City', 'Kind', 'Party', 'Program']]
birthdate	[4, ['Child', 'Family', 'People', 'Person']]
child	[2, ['Family', 'Girl']]
childOf	[3, ['Family', 'Father', 'Parent']]
dateOfBirth	[2, ['Family', 'People']]
father	[2, ['Family', 'Parent']]
firstName	[8, ['Company', 'Family', 'Guy', 'Name', 'Parent', 'People', 'Student', 'Team']]
hasDateOfBirth	[2, ['Family', 'Member']]
hasDaughter	[2, ['Family', 'Father']]
hasFather	[4, ['Family', 'Father', 'Man', 'Parent']]
hasFirstName	[8, ['Child', 'Company', 'Family', 'Guy', 'Name', 'People', 'Person', 'President']]
hasGender	[12, ['Community', 'Family', 'Friend', 'Girl', 'Guy', 'Health', 'Kid', 'Man', 'Parent', 'People', 'Person', 'Woman']]
hasLastName	[8, ['Child', 'Company', 'Family', 'Guy', 'Name', 'People', 'Person', 'President']]
hasMother	[5, ['Family', 'Man', 'Mother', 'Parent', 'Woman']]
hasSon	[2, ['Family', 'Father']]
hasSpouse	[7, ['Family', 'Father', 'Guy', 'Man', 'Mother', 'Parent', 'Person']]
isChildOf	[3, ['Child', 'Family', 'Parent']]
isMale	[2, ['Child', 'Family']]
isMarriedTo	[5, ['Family', 'Man', 'Parent', 'People', 'Person']]
isParentOf	[4, ['Child', 'Family', 'Kid', 'Parent']]
lastName	[8, ['Company', 'Family', 'Guy', 'Name', 'Parent', 'People', 'Student', 'Team']]
mother	[2, ['Family', 'Parent']]
sibling	[2, ['Family', 'Girl']]
endTime	[7, ['Hour', 'Job', 'Moment', 'Night', 'Service', 'Time', 'War']]
hasHour	[2, ['Hour', 'Time']]
hasMinute	[3, ['Hour', 'Minute', 'Time']]
hasMinutes	[3, ['Day', 'Hour', 'Minute']]
hasNumberOfMinutes	[2, ['Hour', 'Minute']]
hasSecond	[2, ['Hour', 'Time']]
hasTemporalDuration	[2, ['Hour', 'Minute']]
startTime	[7, ['Hour', 'Job', 'Moment', 'Night', 'Service', 'Time', 'War']]
capital	[4, ['City', 'Country', 'State', 'World']]
country	[6, ['City', 'Company', 'Government', 'Money', 'Person', 'Place']]
hasPopulation	[6, ['City', 'Country', 'Place', 'President', 'State', 'World']]
locatedInCountry	[2, ['City', 'State']]
partOfCountry	[2, ['City', 'World']]
population	[7, ['City', 'Community', 'Country', 'Government', 'Place', 'State', 'World']]
duration	[4, ['Moment', 'Night', 'Study', 'Time']]
enrolledIn	[5, ['Child', 'Education', 'School', 'Student', 'Study']]
hasCourse	[4, ['Education', 'Result', 'School', 'Study']]
hasDuration	[9, ['Friend', 'Minute', 'Moment', 'Night', 'Program', 'Service', 'Study', 'Time', 'Work']]
hasLevel	[2, ['Level', 'Study']]
hasMethod	[2, ['Study', 'Way']]
hasResult	[5, ['Change', 'Problem', 'Result', 'Study', 'War']]
hasStudent	[5, ['Education', 'Result', 'School', 'Study', 'Teacher']]
isEnrolledIn	[4, ['Girl', 'School', 'Student', 'Study']]
student	[2, ['School', 'Study']]
studentID	[2, ['Education', 'Study']]
studentName	[2, ['School', 'Study']]
subject	[4, ['Education', 'Fact', 'Study', 'Teacher']]
taughtBy	[2, ['School', 'Study']]
teaches	[7, ['Education', 'Information', 'Kind', 'School', 'Student', 'Study', 'Teacher']]
locatedAt	[2, ['Community', 'Service']]
offeredBy	[2, ['Education', 'Service']]
price	[5, ['Business', 'Lot', 'Loveseat', 'Service', 'Sofa']]
provider	[2, ['Program', 'Service']]
providesService	[5, ['Business', 'Community', 'Government', 'Service', 'System']]
rating	[2, ['Game', 'Service']]
serviceName	[2, ['Business', 'Service']]
cityName	[3, ['Country', 'People', 'State']]
continent	[2, ['Country', 'World']]
currency	[2, ['Country', 'Money']]
hasBorderWith	[2, ['Country', 'World']]
hasCapital	[3, ['Country', 'State', 'World']]
hasCurrency	[2, ['Country', 'Money']]
language	[4, ['Book', 'Country', 'Word', 'World']]
existsIn	[2, ['Community', 'Thing']]
hasProperty	[2, ['Kind', 'Thing']]
hasTexture	[2, ['Face', 'Thing']]
involves	[4, ['Case', 'Law', 'Thing', 'War']]
isComposedOf	[3, ['Air', 'Thing', 'Water']]
isMadeOf	[2, ['Door', 'Thing']]
hasSource	[7, ['Change', 'Fact', 'Information', 'Power', 'Question', 'Water', 'Way']]
hasValue	[7, ['Area', 'Fact', 'Information', 'Money', 'Number', 'Power', 'Result']]
isVerified	[2, ['Fact', 'Information']]
source	[5, ['Fact', 'Information', 'Power', 'Water', 'Way']]
hasSeconds	[2, ['Day', 'Minute']]
hasUnit	[5, ['Area', 'Force', 'Minute', 'Power', 'Result']]
amount	[2, ['Money', 'Power']]
derivedFrom	[2, ['Power', 'Reason']]
hasMagnitude	[2, ['Force', 'Power']]
isUsedIn	[2, ['Power', 'Sofa']]
measuredIn	[2, ['Force', 'Power']]
unit	[2, ['Area', 'Power']]
hasColour	[2, ['Chair', 'Loveseat']]
hasWidth	[4, ['Chair', 'Door', 'Loveseat', 'Sofa']]
belongs	[2, ['Community', 'Government']]
hasComment	[2, ['Community', 'Result']]
hasCommonInterest	[2, ['Community', 'Friend']]
hasInterest	[2, ['Community', 'Guy']]
hasRole	[6, ['Business', 'Community', 'Company', 'Group', 'Office', 'Team']]
heldIn	[2, ['Community', 'History']]
joinedDate	[2, ['Community', 'Member']]
leader	[2, ['Community', 'Group']]
memberName	[4, ['Community', 'Group', 'Member', 'Team']]
occupation	[3, ['Community', 'Mother', 'Person']]
participant	[2, ['Community', 'War']]
personAge	[2, ['Community', 'Company']]
writtenBy	[2, ['Community', 'Story']]
causedBy	[3, ['Change', 'Reason', 'War']]
causes	[4, ['Change', 'End', 'Reason', 'Result']]
hasCause	[3, ['Change', 'Problem', 'War']]
hasImpact	[3, ['Change', 'Idea', 'Problem']]
isCausedBy	[2, ['Change', 'Problem']]
leadsTo	[3, ['Change', 'Reason', 'Way']]
author	[4, ['Book', 'Information', 'Story', 'Word']]
contains	[6, ['Air', 'Home', 'Information', 'Reason', 'Week', 'World']]
content	[2, ['History', 'Information']]
creationDate	[4, ['Art', 'Case', 'Group', 'Information']]
hasContent	[3, ['Information', 'Question', 'Word']]
hasTimestamp	[2, ['Information', 'Result']]
hasAddress	[9, ['Book', 'Company', 'Friend', 'Home', 'House', 'Kid', 'Lot', 'Place', 'School']]
hasNumberOfRooms	[2, ['Home', 'House']]
hasOwner	[4, ['Business', 'Home', 'House', 'Lot']]
hasRooms	[2, ['Home', 'House']]
owner	[3, ['Home', 'House', 'Lot']]
owns	[3, ['Business', 'Home', 'House']]
associatedWith	[4, ['Case', 'End', 'Level', 'Result']]
consequence	[2, ['End', 'War']]
isResultOf	[2, ['End', 'Result']]
hasComponent	[3, ['Air', 'Face', 'System']]
hasInput	[2, ['Program', 'System']]
hasOutput	[2, ['Program', 'System']]
hasVersion	[2, ['Program', 'System']]
partOf	[7, ['Hand', 'Office', 'Part', 'School', 'State', 'System', 'World']]
hasPhoneNumber	[2, ['Friend', 'People']]
isFriendWith	[2, ['Friend', 'Guy']]
hasPosition	[5, ['Face', 'Hand', 'Job', 'Team', 'Work']]
hasSkin	[3, ['Face', 'Hand', 'Head']]
hasSkinColor	[2, ['Face', 'Hand']]
hasPoint	[2, ['Line', 'Point']]
hasX	[2, ['Line', 'Point']]
hasXCoordinate	[2, ['Line', 'Point']]
hasY	[2, ['Line', 'Point']]
hasYCoordinate	[2, ['Line', 'Point']]
hasZCoordinate	[2, ['Line', 'Point']]
x	[2, ['Line', 'Point']]
xCoordinate	[2, ['Line', 'Point']]
y	[2, ['Line', 'Point']]
yCoordinate	[2, ['Line', 'Point']]
hasGrade	[5, ['Child', 'Education', 'Result', 'School', 'Student']]
hasOutcome	[2, ['Result', 'War']]
email	[3, ['Member', 'Office', 'Person']]
groupID	[2, ['Group', 'Member']]
hasBirthday	[2, ['Girl', 'Member']]
hasCity	[4, ['Government', 'Home', 'Lot', 'World']]
residesIn	[2, ['Home', 'Person']]
street	[3, ['Company', 'Home', 'Person']]
attendsSchool	[3, ['Child', 'Girl', 'Kid']]
hasHairColor	[2, ['Girl', 'Head']]
hasHobby	[3, ['Girl', 'Guy', 'Kid']]
bornIn	[3, ['Art', 'People', 'Person']]
isEmployed	[3, ['People', 'Person', 'Woman']]
isMarried	[5, ['Man', 'Mother', 'People', 'Person', 'Woman']]
jobTitle	[3, ['Job', 'Person', 'Work']]
nationality	[3, ['Art', 'Man', 'Person']]
state	[2, ['Company', 'Person']]
playsSport	[3, ['Guy', 'Kid', 'Team']]
worksAt	[6, ['Education', 'Guy', 'Health', 'Office', 'School', 'Teacher']]
worksIn	[5, ['Guy', 'Office', 'Teacher', 'Woman', 'Work']]
hasEye	[3, ['Eye', 'Face', 'Head']]
hasEyes	[2, ['Face', 'Head']]
hasFace	[2, ['Face', 'Head']]
hasMouth	[2, ['Face', 'Head']]
hasNose	[2, ['Face', 'Head']]
shape	[2, ['Eye', 'Face']]
isMotherOf	[3, ['Mother', 'Parent', 'Woman']]
consistsOf	[4, ['Air', 'Education', 'Government', 'Week']]
dayOfWeek	[2, ['Day', 'Week']]
hasDays	[2, ['Month', 'Week']]
hasHours	[3, ['Day', 'Week', 'Work']]
hasDegree	[2, ['Education', 'Teacher']]
hasExperience	[3, ['Program', 'Teacher', 'Team']]
school	[3, ['Child', 'Kid', 'Teacher']]
teachesAt	[2, ['School', 'Teacher']]
teachesIn	[2, ['School', 'Teacher']]
teachesSubject	[3, ['Education', 'School', 'Teacher']]
hasCategory	[2, ['Kind', 'Question']]
hasQuality	[2, ['Air', 'Kind']]
hasReason	[2, ['Reason', 'War']]
countryOf	[2, ['Place', 'World']]
company	[2, ['Book', 'Work']]
genre	[4, ['Art', 'Book', 'Game', 'Story']]
hasGenre	[3, ['Book', 'Game', 'Story']]
publicationDate	[2, ['Book', 'Story']]
publicationYear	[2, ['Book', 'Story']]
publisher	[2, ['Book', 'Game']]
hasHumidity	[2, ['Air', 'Day']]
hasNight	[2, ['Day', 'Night']]
hasTemperature	[4, ['Air', 'Day', 'Night', 'Water']]
hasWeather	[2, ['Day', 'Night']]
hasContinent	[2, ['President', 'World']]
hasCountry	[4, ['Company', 'Lot', 'President', 'World']]
hasLanguage	[3, ['Program', 'Word', 'World']]
endsWith	[2, ['Time', 'War']]
unitOfMeasure	[2, ['Area', 'Force']]
value	[3, ['Area', 'Money', 'Number']]
hasTask	[2, ['Team', 'Work']]
memberRole	[2, ['Group', 'Team']]
role	[2, ['Story', 'Team']]
employee	[2, ['Job', 'Work']]
employeeName	[3, ['Company', 'Office', 'Work']]
employer	[2, ['Job', 'Work']]
fullName	[2, ['Name', 'Work']]
hasCompanyName	[2, ['Company', 'Work']]
hasEmployee	[4, ['Business', 'Company', 'Office', 'Work']]
hasEmployer	[2, ['Job', 'Work']]
hasFullName	[3, ['Company', 'Name', 'Work']]
hasJob	[3, ['Job', 'Man', 'Work']]
hasJobTitle	[3, ['Company', 'Job', 'Work']]
hasSalary	[3, ['Company', 'Job', 'Work']]
isFullTime	[3, ['Job', 'Student', 'Work']]
positionTitle	[2, ['Job', 'Work']]
receives	[3, ['Education', 'Health', 'Work']]
salary	[3, ['Business', 'Job', 'Work']]
worksFor	[2, ['Job', 'Work']]
hasPeriod	[3, ['Art', 'History', 'Moment']]
periodEnd	[2, ['Art', 'Moment']]
periodStart	[2, ['Art', 'Moment']]
handles	[2, ['Case', 'Law']]
hasCaseNumber	[2, ['Case', 'Law']]
hasIdentifier	[2, ['Case', 'Law']]
hasText	[2, ['Law', 'Question']]
isEnforcedBy	[2, ['Law', 'Right']]
disease	[2, ['Eye', 'Health']]
hasCondition	[2, ['Back', 'Health']]
hasDisease	[2, ['Eye', 'Health']]
hasHeight	[4, ['Chair', 'Door', 'Health', 'Sofa']]
hasSymptom	[2, ['Back', 'Health']]
hasTreatment	[2, ['Eye', 'Health']]
hasWeight	[2, ['Health', 'Part']]
manages	[2, ['Health', 'Office']]
operatesIn	[2, ['Business', 'Health']]
suffersFrom	[2, ['Back', 'Health']]
hasDifficultyLevel	[2, ['Problem', 'Question']]
weight	[4, ['Man', 'Part', 'Question', 'Sofa']]
hasDirection	[3, ['Force', 'Line', 'Way']]
isPolluted	[2, ['Air', 'Water']]
temperature	[2, ['Air', 'Water']]
end	[2, ['Night', 'Time']]
developedBy	[2, ['Game', 'Program']]
developer	[2, ['Game', 'Program']]
hasDeveloper	[2, ['Game', 'Program']]
hasPlatform	[2, ['Game', 'Program']]
hasReleaseDate	[2, ['Game', 'Program']]
releaseDate	[2, ['Game', 'Program']]
assigns	[2, ['Education', 'School']]
courseName	[2, ['School', 'Student']]
grade	[2, ['Kid', 'School']]
hasTeacher	[2, ['Education', 'School']]
offers	[2, ['Business', 'School']]
offersCourse	[2, ['Education', 'School']]
studiesAt	[4, ['Education', 'Kid', 'School', 'Student']]
takes	[2, ['School', 'Student']]
teachesCourse	[2, ['Education', 'School']]
establishedDate	[2, ['Business', 'Group']]
industry	[3, ['Business', 'Company', 'Job']]
hasCreator	[2, ['Art', 'Idea']]
hasMedium	[2, ['Art', 'Way']]
inspiredBy	[2, ['Art', 'Idea']]
madeOf	[3, ['Art', 'Door', 'Part']]
endPoint	[2, ['Line', 'Way']]
hasEndPoint	[2, ['Line', 'Way']]
hasStart	[3, ['Line', 'Night', 'Way']]
hasStartPoint	[2, ['Line', 'Way']]
startPoint	[2, ['Line', 'Way']]
isFatherOf	[2, ['Father', 'Parent']]
hasOrigin	[2, ['Idea', 'Word']]
hasChildren	[2, ['Man', 'Woman']]
code	[2, ['Money', 'Program']]
attendsCourse	[2, ['Education', 'Student']]
courseCode	[2, ['Education', 'Student']]
studiesSubject	[2, ['Education', 'Student']]
hasDifficulty	[2, ['Level', 'Problem']]
hasDepartment	[4, ['Business', 'Company', 'Government', 'Office']]
hasState	[3, ['Government', 'State', 'Water']]
presidentOf	[2, ['Government', 'President']]
fatherOf	[2, ['Father', 'Man']]
surname	[2, ['Man', 'People']]
manufacturedBy	[2, ['Part', 'Sofa']]
usedIn	[3, ['Part', 'Water', 'Word']]
hasCharacter	[2, ['History', 'Story']]
belongsCountry	[2, ['President', 'State']]
hasCEO	[2, ['Business', 'Company']]
numberOfEmployees	[2, ['Company', 'Office']]
offersService	[2, ['Business', 'Company']]
operatesInIndustry	[2, ['Business', 'Company']]
produces	[2, ['Business', 'Company']]
