Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
hasPart	15	['Air', 'Back', 'Body', 'Eye', 'Face', 'Hand', 'Head', 'Home', 'Kind', 'Morning', 'Part', 'Program', 'System', 'Thing', 'World']	6	['activity', 'body', 'day', 'head', 'introduction', 'part']	21
isPartOf	24	['Body', 'City', 'Eye', 'Group', 'Hand', 'History', 'Hour', 'Law', 'Moment', 'Morning', 'Night', 'Number', 'Office', 'Part', 'Place', 'Program', 'Room', 'State', 'Study', 'System', 'Thing', 'Time', 'Way', 'World']	7	['body', 'island', 'period', 'room', 'sea', 'thousand', 'trader']	31
assignedTo	2	['Case', 'Issue']	2	['regiment', 'task']	4
description	17	['Case', 'Fact', 'Group', 'Idea', 'Issue', 'Job', 'Kind', 'Moment', 'Others', 'Part', 'Problem', 'Program', 'Research', 'Service', 'Thing', 'Time', 'Work']	8	['detail', 'exhibit', 'favor', 'fund', 'project', 'service', 'task', 'website']	25
dueDate	2	['Issue', 'Research']	3	['debt', 'effort', 'task']	5
hasDateCreated	2	['Idea', 'Issue']	1	['idea']	3
hasDeadline	3	['Issue', 'Team', 'Work']	3	['opportunity', 'project', 'task']	6
hasDescription	13	['Case', 'Fact', 'History', 'Idea', 'Issue', 'Job', 'Level', 'Moment', 'Part', 'Problem', 'Program', 'Story', 'Thing']	7	['attempt', 'course', 'issue', 'photo', 'principle', 'shop', 'task']	20
hasID	6	['Case', 'Issue', 'Member', 'Student', 'Study', 'Teacher']	3	['course', 'soldier', 'worker']	9
hasId	4	['Fact', 'Issue', 'Problem', 'Program']	1	['request']	5
hasIssue	1	['Issue']	1	['issue']	2
hasName	60	['Area', 'Art', 'Book', 'Business', 'Child', 'City', 'Community', 'Company', 'Country', 'Day', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'Health', 'History', 'Home', 'House', 'Idea', 'Issue', 'Kid', 'Kind', 'Law', 'Life', 'Man', 'Member', 'Moment', 'Month', 'Mother', 'Name', 'Office', 'Others', 'Parent', 'Party', 'People', 'Person', 'Place', 'President', 'Program', 'Research', 'Room', 'School', 'Service', 'State', 'Story', 'Student', 'Study', 'System', 'Teacher', 'Team', 'Thing', 'War', 'Way', 'Week', 'Woman', 'Work', 'World']	66	['activity', 'actor', 'artist', 'auction', 'author', 'battle', 'cemetery', 'church', 'citation', 'company', 'country', 'county', 'course', 'domain', 'donation', 'enslaver', 'film', 'girl', 'guest', 'hero', 'household', 'idea', 'individual', 'institution', 'island', 'lawyer', 'level', 'life', 'man', 'material', 'merchant', 'missionary', 'nation', 'neighbor', 'obituary', 'officer', 'organization', 'overseer', 'page', 'painter', 'party', 'petition', 'photo', 'pilgrimage', 'plan', 'poem', 'politician', 'principle', 'project', 'reader', 'resident', 'result', 'road', 'seamstress', 'ship', 'shop', 'skill', 'speaker', 'story', 'study', 'subject', 'tavern', 'theme', 'town', 'website', 'woman']	126
hasPriority	1	['Issue']	1	['issue']	2
hasSeverity	3	['Health', 'Issue', 'Problem']	5	['assault', 'damage', 'fire', 'injury', 'pain']	8
hasStatus	3	['Case', 'Issue', 'Law']	2	['request', 'status']	5
hasTitle	15	['Art', 'Book', 'Case', 'Game', 'Idea', 'Information', 'Issue', 'Job', 'Law', 'Problem', 'Question', 'Research', 'Story', 'Study', 'Work']	22	['association', 'author', 'book', 'citation', 'course', 'diary', 'document', 'film', 'information', 'manuscript', 'newspaper', 'page', 'paper', 'petition', 'photo', 'poem', 'prince', 'report', 'story', 'study', 'tale', 'task']	37
isAssignedTo	1	['Issue']	2	['officer', 'task']	3
isOpen	3	['Case', 'Door', 'Issue']	1	['issue']	4
isRelatedTo	4	['Case', 'Idea', 'Issue', 'Lot']	2	['principle', 'skill']	6
issueDescription	1	['Issue']	1	['issue']	2
issueID	1	['Issue']	1	['issue']	2
issueStatus	1	['Issue']	1	['issue']	2
personName	4	['Case', 'Community', 'Company', 'Issue']	1	['history']	5
status	2	['Case', 'Issue']	1	['guest']	3
title	13	['Art', 'Book', 'Case', 'Game', 'Information', 'Issue', 'Job', 'Law', 'Research', 'Story', 'Study', 'Time', 'Work']	16	['article', 'bibliography', 'book', 'diary', 'example', 'exhibit', 'film', 'gospel', 'literature', 'manuscript', 'memoir', 'novel', 'publication', 'publisher', 'song', 'website']	29
affiliation	1	['Research']	1	['researcher']	2
belongsTo	17	['Art', 'Case', 'Community', 'Eye', 'Family', 'Hand', 'History', 'Lot', 'Member', 'Part', 'President', 'Research', 'Result', 'Room', 'School', 'State', 'Study']	6	['activist', 'background', 'branch', 'piece', 'society', 'university']	23
endDate	10	['Art', 'Case', 'End', 'Job', 'Moment', 'President', 'Research', 'Team', 'War', 'Work']	6	['ability', 'contract', 'exhibit', 'period', 'project', 'work']	16
hasAuthor	7	['Art', 'Book', 'Idea', 'Information', 'Program', 'Research', 'Story']	22	['audiobook', 'autobiography', 'bibliography', 'biography', 'book', 'citation', 'comment', 'diary', 'document', 'information', 'manuscript', 'newspaper', 'page', 'paper', 'poem', 'preface', 'record', 'report', 'research', 'story', 'tale', 'text']	29
hasEndDate	8	['Case', 'End', 'History', 'Job', 'Program', 'Research', 'War', 'Work']	7	['association', 'controversy', 'expedition', 'meeting', 'party', 'plan', 'travel']	15
hasPublicationDate	3	['Book', 'Information', 'Research']	4	['author', 'biography', 'book', 'paper']	7
hasResearcher	2	['Research', 'Study']	1	['study']	3
hasStartDate	7	['Case', 'History', 'Job', 'Program', 'Research', 'War', 'Work']	7	['association', 'controversy', 'expedition', 'meeting', 'party', 'plan', 'travel']	14
hasSubject	7	['Case', 'Education', 'Fact', 'Information', 'Research', 'Study', 'Teacher']	12	['biography', 'class', 'controversy', 'desire', 'mail', 'photo', 'school', 'statement', 'study', 'subject', 'thought', 'view']	19
hasTopic	2	['Research', 'Study']	2	['conversation', 'speaker']	4
isAbout	3	['Fact', 'Information', 'Research']	2	['activist', 'biographer']	5
isWrittenBy	1	['Research']	2	['biographer', 'diary']	3
name	50	['Art', 'Book', 'Business', 'Child', 'City', 'Community', 'Company', 'Country', 'Education', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'History', 'Information', 'Job', 'Kid', 'Kind', 'Law', 'Life', 'Man', 'Member', 'Mother', 'Office', 'Others', 'Part', 'Party', 'People', 'Person', 'Place', 'Problem', 'Program', 'Research', 'Room', 'School', 'Service', 'State', 'Story', 'Student', 'Study', 'System', 'Teacher', 'Team', 'Thing', 'Way', 'Work', 'World']	65	['ability', 'account', 'activism', 'activist', 'actor', 'ancestry', 'battle', 'bibliography', 'boy', 'captain', 'cemetery', 'census', 'character', 'chef', 'community', 'convention', 'disease', 'editor', 'exhibit', 'film', 'fugitive', 'fund', 'gift', 'governor', 'group', 'guest', 'hero', 'home', 'instance', 'laborer', 'lawyer', 'memorial', 'monument', 'nation', 'native', 'origin', 'passenger', 'person', 'place', 'plantation', 'prisoner', 'project', 'property', 'publisher', 'regiment', 'region', 'release', 'researcher', 'scholar', 'seamstress', 'servant', 'service', 'settlement', 'state', 'store', 'support', 'supporter', 'system', 'task', 'teacher', 'tour', 'trader', 'treatment', 'vessel', 'website']	115
performs	1	['Research']	2	['agent', 'favor']	3
publishedIn	2	['Book', 'Research']	2	['author', 'press']	4
publishes	1	['Research']	2	['obituary', 'publisher']	3
researchTopic	1	['Research']	1	['research']	2
