Term	CS-MODL Count	CS-MODL Files	Enslaved-MODL Count	Enslaved-MODL Files	Total Count
color	1	['Eye']	1	['clothe']	2
y	2	['Line', 'Point']	1	['line']	3
hasColor	1	['Eye']	1	['material']	2
hasHeight	1	['Health']	1	['baby']	2
hasSecurityLevel	1	['Door']	1	['prison']	2
isOpen	1	['Issue']	1	['issue']	2
locatedIn	1	['Team']	1	['state']	2
madeOf	1	['Art']	1	['clothe']	2
material	1	['Couch']	1	['dress']	2
belongs	2	['Community', 'Government']	1	['priesthood']	3
belongsTo	1	['Lot']	1	['branch']	2
country	2	['Government', 'Money']	1	['freedom']	3
hasContinent	1	['World']	1	['nation']	2
hasCountry	1	['Lot']	1	['location']	2
hasEnd	2	['End', 'Night']	2	['end', 'spring']	4
hasFirstName	1	['Child']	1	['professor']	2
hasLastName	1	['Child']	1	['professor']	2
hasName	1	['Party']	1	['project']	2
hasNationality	1	['People']	1	['worker']	2
hasPopulation	1	['State']	1	['state']	2
hasStart	2	['Line', 'Night']	1	['spring']	3
hasTerm	1	['President']	2	['politician', 'president']	3
servesIn	1	['President']	1	['soldier']	2
startDate	1	['Team']	1	['project']	2
termEnd	1	['President']	1	['governor']	2
termStart	1	['President']	1	['governor']	2
age	1	['Party']	2	['home', 'horse']	3
attends	1	['Education']	1	['student']	2
description	1	['Idea']	1	['project']	2
gender	1	['Child']	1	['instance']	2
hasAge	1	['Teacher']	1	['girl']	2
hasLocation	1	['Party']	1	['violence']	2
hasManufacturer	1	['Car']	1	['carriage']	2
hasOccupation	1	['Work']	1	['preacher']	2
hasShape	1	['Eye']	1	['eye']	2
livesIn	1	['People']	1	['relation']	2
location	1	['Party']	1	['funeral']	2
member	2	['Family', 'Party']	1	['project']	3
name	1	['Party']	1	['state']	2
relatedTo	1	['Side']	1	['idea']	2
courseName	1	['School']	1	['course']	2
enrolledIn	1	['Education']	1	['university']	2
firstName	1	['Team']	1	['governor']	2
hasGrade	1	['Education']	1	['institution']	2
hasID	1	['Teacher']	1	['soldier']	2
hasMajor	1	['Student']	1	['student']	2
hasMinor	1	['Student']	1	['student']	2
hasStudent	2	['Study', 'Teacher']	1	['school']	3
lastName	1	['Team']	1	['governor']	2
studies	1	['Education']	1	['university']	2
teaches	1	['Teacher']	1	['school']	2
year	2	['Car', 'Year']	2	['census', 'publication']	4
brand	1	['Couch']	1	['marker']	2
depth	1	['Couch']	1	['sea']	2
hasSize	1	['Lot']	1	['cabin']	2
hasStyle	1	['Art']	1	['style']	2
height	1	['Man']	1	['volume']	2
isPartOf	2	['Eye', 'Office']	1	['period']	3
isUsedIn	2	['Power', 'Sofa']	1	['carriage']	3
price	1	['Lot']	2	['purchase', 'shop']	3
city	2	['Party', 'Person']	1	['person']	3
size	1	['Lot']	1	['clothe']	2
width	1	['Couch']	1	['volume']	2
hasDuration	1	['Service']	1	['activity']	2
hasMinutes	1	['Day']	1	['hour']	2
hasNumericValue	1	['Minute']	1	['value']	2
hasSecond	2	['Hour', 'Time']	1	['pair']	3
partOf	2	['Hand', 'Office']	1	['foot']	3
unit	2	['Area', 'Power']	1	['volume']	3
address	1	['Party']	1	['property']	2
email	1	['Member']	1	['gift']	2
hasDepartment	1	['Government']	1	['institution']	2
hasEmployee	1	['Work']	1	['office']	2
hasFurniture	1	['Home']	1	['office']	2
hasRole	1	['Team']	1	['project']	2
hasRoom	1	['Home']	1	['home']	2
manages	1	['Health']	1	['construction']	2
worksAt	1	['Teacher']	1	['doctor']	2
worksIn	1	['Teacher']	1	['professor']	2
applies	1	['Law']	1	['drag']	2
author	2	['Book', 'Information']	1	['memoir']	3
hasArticle	1	['Law']	1	['newspaper']	2
hasCase	1	['Law']	1	['trial']	2
hasCourt	1	['Law']	1	['justice']	2
x	2	['Line', 'Point']	1	['line']	3
hasId	2	['Fact', 'Issue']	1	['request']	3
hasJurisdiction	1	['Law']	1	['court']	2
hasStatus	1	['Issue']	1	['request']	2
