Ontology	Key Notion	GPT Version	Prompt	Response
protoOKN	service	4	Construct an ontology focused on the following: service. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix ex: <http://example.com/> .ex:Service rdf:type rdfs:Class .ex:hasServiceProvider rdf:type rdf:Property ;   rdfs:domain ex:Service ;   rdfs:range ex:ServiceProvider .ex:ServiceProvider rdf:type rdfs:Class .ex:hasServiceType rdf:type rdf:Property ;   rdfs:domain ex:Service ;   rdfs:range ex:ServiceType .ex:ServiceType rdf:type rdfs:Class .ex:hasServiceDuration rdf:type rdf:Property ;    rdfs:domain ex:Service ;    rdfs:range xsd:duration .ex:hasServiceCost rdf:type rdf:Property ;    rdfs:domain ex:Service ;    rdfs:range xsd:float .```
protoOKN	case	4	Construct an ontology focused on the following: case. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix : <http://www.example.com/ontology#> .@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .:Case a owl:Class ;    rdfs:label "Case"@en ;    rdfs:comment "A generic concept for cases or instances in various domains." .:LegalCase a owl:Class ;    rdfs:subClassOf :Case ;    rdfs:label "Legal case"@en ;    rdfs:comment "A legal case is a dispute between opposing parties resolved by a court, or by some equivalent legal process." .:MedicalCase a owl:Class ;    rdfs:subClassOf :Case ;    rdfs:label "Medical case"@en ;    rdfs:comment "A medical case is the occurrence of one or more medical conditions or the provision of care for that condition in a patient." .:CaseIdentifier a owl:DatatypeProperty ;    rdfs:domain :Case ;    rdfs:range xsd:string ;    rdfs:label "Case identifier"@en ;    rdfs:comment "The unique identifier of a case." .:CaseDescription a owl:DatatypeProperty ;    rdfs:domain :Case ;    rdfs:range xsd:string ;    rdfs:label "Case description"@en ;    rdfs:comment "The description of a case." .:caseHasParty a owl:ObjectProperty ;    rdfs:domain :LegalCase ;    rdfs:range :Person ;    rdfs:label "has party"@en ;    rdfs:comment "An individual who is consented or involved in a legal case." .:caseHasCondition a owl:ObjectProperty ;    rdfs:domain :MedicalCase ;    rdfs:range :Disease ;    rdfs:label "has condition"@en ;    rdfs:comment "A medical condition or disease associated with a medical case." .```Please adapt and extend the ontology to your needs including adding the `Person` and `Disease` classes if needed. The `xmlns:xsd` prefix (used for the range of the DatatypeProperties) is often assumed to be known, and is <http://www.w3.org/2001/XMLSchema#>.
protoOKN	hour	4	Construct an ontology focused on the following: hour. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix : <http://www.semanticweb.org/ontology#> .@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .: a owl:Ontology ;:Hour a owl:Class ;    rdfs:label "Hour" ;    rdfs:comment "Represents time in hours." .:TimePoint a owl:Class ;    rdfs:label "Time Point" ;    rdfs:comment "Represents a specific point in time." .:hasHour a owl:ObjectProperty ;    rdfs:label "has hour" ;    rdfs:comment "Denotes that a time point has a particular hour." ;    rdfs:domain :TimePoint ;    rdfs:range :Hour .:Minute a owl:Class ;    rdfs:label "Minute" ;    rdfs:comment "Represents time in minutes." .:hasMinute a owl:ObjectProperty ;    rdfs:label "has minute" ;    rdfs:comment "Denotes that an hour has a particular number of minutes." ;    rdfs:domain :Hour ;    rdfs:range :Minute .```
protoOKN	event	4	Construct an ontology focused on the following: event. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix event: <http://example.org/event#> .event:EventClass     rdf:type rdfs:Class ;    rdfs:label "Event Class" ;    rdfs:comment "A superclass representing any type of event" .event:EventID     rdf:type rdf:Property ;    rdfs:range xsd:string ;    rdfs:domain event:EventClass ;    rdfs:label "Event identifier" ;    rdfs:comment "A unique identifier for the event" .event:EventName     rdf:type rdf:Property ;    rdfs:range xsd:string ;    rdfs:domain event:EventClass ;    rdfs:label "Event name" ;    rdfs:comment "The name of the event" .event:Location     rdf:type rdf:Property ;    rdfs:range xsd:string ;    rdfs:domain event:EventClass ;    rdfs:label "Event location" ;    rdfs:comment "The place where the event is held" .event:EventTime     rdf:type rdf:Property ;    rdfs:range xsd:dateTime ;    rdfs:domain event:EventClass ;    rdfs:label "Event time" ;    rdfs:comment "The time of the event" .event:EventDescription     rdf:type rdf:Property ;    rdfs:range xsd:string ;    rdfs:domain event:EventClass ;    rdfs:label "Event description" ;    rdfs:comment "Detailed description of the event" .```
protoOKN	expertise	4	Construct an ontology focused on the following: expertise. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix : <http://www.example.org/#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .:Expertise a owl:Class ;    rdfs:label "Expertise"@en ;    rdfs:comment "A special skill or knowledge that a person acquires through learning or practice"@en .:Expert a owl:Class ;    rdfs:label "Expert"@en ;    rdfs:comment "A person who has acquired expertise in a particular field"@en ;    rdfs:subClassOf :Person .:hasExpertise a owl:ObjectProperty ;    rdfs:label "has expertise"@en ;    rdfs:comment "Links a person to the expertise they have"@en ;    rdfs:domain :Person ;    rdfs:range :Expertise .:ExpertiseLevel a owl:Class ;    rdfs:label "Expertise level"@en ;    rdfs:comment "The scale or degree of a person's expertise"@en .:hasExpertiseLevel a owl:DatatypeProperty ;    rdfs:label "has expertise level"@en ;    rdfs:comment "Links a person's expertise to its level"@en ;    rdfs:domain :Expertise ;    rdfs:range :ExpertiseLevel .:ExpertiseField a owl:Class ;    rdfs:label "Expertise field"@en ;    rdfs:comment "The field in which a person's expertise lies"@en .:hasExpertiseField a owl:ObjectProperty ;    rdfs:label "has expertise field"@en ;    rdfs:comment "Links a person's expertise to its field"@en ;    rdfs:domain :Expertise ;    rdfs:range :ExpertiseField .```
protoOKN	expert	4	Construct an ontology focused on the following: expert. Provide it in valid Turtle/RDF format, excluding any extra text.	```ttl@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix expert: <http://www.example.com/expert#> .expert:Expert rdf:type rdfs:Class ;expert:hasExpertise rdf:type rdf:Property ;  rdfs:domain expert:Expert ;  rdfs:range rdfs:Literal .expert:hasExperienceYears rdf:type rdf:Property ;  rdfs:domain expert:Expert ;  rdfs:range xsd:int .expert:hasAccomplishments rdf:type rdf:Property ;  rdfs:domain expert:Expert ;  rdfs:range xsd:string .expert:worksInField rdf:type rdf:Property ;  rdfs:domain expert:Expert ;  rdfs:range expert:Field .expert:Field rdf:type rdfs:Class ;  rdfs:label "Field"^^xsd:string .  expert:DomainExpert rdf:type rdfs:Class ;  rdfs:subClassOf expert:Expert ;  rdfs:comment "A Domain Expert is an expert with expertise in a specific field or industry"^^xsd:string .expert:TechnicalExpert rdf:type rdfs:Class ;  rdfs:subClassOf expert:Expert ;  rdfs:comment "A Technical Expert is an expert with expertise in a specific technology or tool"^^xsd:string .```
protoOKN	condition	4	Construct an ontology focused on the following: condition. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix cond: <http://www.example.org/condition#> .cond:Condition rdf:type rdfs:Class .cond:hasSeverity rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:string .                 cond:hasSymptoms rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:string .cond:requiresTreatment rdf:type rdf:Property ;                       rdfs:domain cond:Condition ;                       rdfs:range xsd:string .cond:hasDuration rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:int .                 cond:Cancer rdf:type cond:Condition ;            cond:hasSeverity "High" ;            cond:hasSymptoms "Pain, fatigue, weight loss" ;            cond:requiresTreatment "Chemotherapy" ;            cond:hasDuration 180 .cond:Influenza rdf:type cond:Condition ;               cond:hasSeverity "Medium" ;               cond:hasSymptoms "Fever, cough, sore throat" ;               cond:requiresTreatment "Rest and fluid intake" ;               cond:hasDuration 7 .```In this example, a prefix cond is defined to contain all the entities related to 'condition'. An object 'Condition' is defined, and then several properties are defined to describe 'Condition', including 'hasSeverity', 'hasSymptoms', 'requiresTreatment', and 'hasDuration'. Two instances (Cancer and Influenza) of 'Condition' are created, each with their own values for these properties.
protoOKN	condition	4	Construct an ontology focused on the following: condition. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix cond: <http://www.example.org/condition#> .cond:Condition rdf:type rdfs:Class .cond:hasSeverity rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:string .                 cond:hasSymptoms rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:string .cond:requiresTreatment rdf:type rdf:Property ;                       rdfs:domain cond:Condition ;                       rdfs:range xsd:string .cond:hasDuration rdf:type rdf:Property ;                 rdfs:domain cond:Condition ;                 rdfs:range xsd:int .                 cond:Cancer rdf:type cond:Condition ;            cond:hasSeverity "High" ;            cond:hasSymptoms "Pain, fatigue, weight loss" ;            cond:requiresTreatment "Chemotherapy" ;            cond:hasDuration 180 .cond:Influenza rdf:type cond:Condition ;               cond:hasSeverity "Medium" ;               cond:hasSymptoms "Fever, cough, sore throat" ;               cond:requiresTreatment "Rest and fluid intake" ;               cond:hasDuration 7 .```In this example, a prefix cond is defined to contain all the entities related to 'condition'. An object 'Condition' is defined, and then several properties are defined to describe 'Condition', including 'hasSeverity', 'hasSymptoms', 'requiresTreatment', and 'hasDuration'. Two instances (Cancer and Influenza) of 'Condition' are created, each with their own values for these properties.
protoOKN	gene activity	4	Construct an ontology focused on the following: gene activity. Provide it in valid Turtle/RDF format, excluding any extra text.	```@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix owl: <http://www.w3.org/2002/07/owl#> .@prefix gene_ontology: <http://geneontology.org/> .gene_ontology:Gene rdf:type owl:Class .gene_ontology:hasActivity rdf:type owl:ObjectProperty ;    rdfs:domain gene_ontology:Gene ;    rdfs:range gene_ontology:GeneActivity .gene_ontology:GeneActivity rdf:type owl:Class .gene_ontology:isInvolvedIn rdf:type owl:ObjectProperty ;    rdfs:domain gene_ontology:GeneActivity ;    rdfs:range gene_ontology:BiologicalProcess .gene_ontology:BiologicalProcess rdf:type owl:Class .gene_ontology:isActivatedBy rdf:type owl:ObjectProperty ;    rdfs:domain gene_ontology:Gene ;    rdfs:range gene_ontology:Regulator .gene_ontology:Regulator rdf:type owl:Class .gene_ontology:isSuppressedBy rdf:type owl:ObjectProperty ;    rdfs:domain gene_ontology:Gene ;    rdfs:range gene_ontology:Suppressor .gene_ontology:Suppressor rdf:type owl:Class .```
protoOKN	blood cells	4	Construct an ontology focused on the following: blood cells. Provide it in valid Turtle/RDF format, excluding any extra text.	```turtle@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .@prefix bcl: <http://example.org/BloodCellOntology#> .bcl:BloodCell a rdfs:Class ;    rdfs:label "Blood Cell"@en ;    rdfs:comment "The class of all blood cells"@en .bcl:WhiteBloodCell a rdfs:Class ;    rdfs:label "White Blood Cell"@en ;    rdfs:comment "The class of all white blood cells"@en ;    rdfs:subClassOf bcl:BloodCell .bcl:RedBloodCell a rdfs:Class ;    rdfs:label "Red Blood Cell"@en ;    rdfs:comment "The class of all red blood cells"@en ;    rdfs:subClassOf bcl:BloodCell .bcl:Platelet a rdfs:Class ;    rdfs:label "Platelet"@en ;    rdfs:comment "The class of all platelets"@en ;    rdfs:subClassOf bcl:BloodCell .bcl:produces a rdf:Property ;    rdfs:label "produces"@en ;    rdfs:comment "Indicates the blood cell which originates from another"@en ;    rdfs:domain bcl:BloodCell ;    rdfs:range bcl:BloodCell .bcl:hasFunction a rdf:Property ;    rdfs:label "has function"@en ;    rdfs:comment "Indicates the function of the blood cell"@en ;    rdfs:domain bcl:BloodCell ;    rdfs:range xsd:string .```
