Arm	2	1	3
BodyPart	3	1	4
Head	2	1	3
Human	17	4	21
Resource	46	47	93
Torso	1	1	2
Datetime	27	44	71
Entity	25	13	38
Integer	74	100	174
Issue	1	2	3
Langstring	8	3	11
Person	55	111	166
Status	2	2	4
Subject	12	10	22
Thing	22	18	40
User	3	4	7
Author	6	17	23
Field	2	2	4
FieldOfStudy	1	1	2
Institution	6	5	11
Organization	9	8	17
Product	3	7	10
Publication	2	7	9
Research	1	1	2
Researcher	2	3	5
Topic	4	3	7
Class	11	8	19
Object	6	1	7
String	2	1	3
Animal	2	1	3
City	9	10	19
Color	6	5	11
Course	7	4	11
Gender	9	3	12
Group	3	2	5
Location	18	29	47
Manufacturer	6	1	7
Occupation	5	1	6
Provider	3	2	5
Service	7	3	10
Student	9	6	15
University	4	3	7
Day	6	1	7
Document	2	2	4
Event	13	11	24
Year	4	1	5
Birth	1	1	2
Death	1	1	2
Environment	1	1	2
Life	2	1	3
Dimension	3	1	4
Material	6	7	13
Nonnegativeinteger	11	2	13
Size	5	2	7
Style	4	2	6
Type	3	1	4
Building	4	3	7
Furniture	5	3	8
Room	6	2	8
RoomType	1	1	2
Activity	5	2	7
Meal	1	1	2
Time	11	4	15
DateTime	4	1	5
Guest	1	2	3
Party	2	2	4
Theme	2	3	5
BirthDate	1	1	2
Child	4	2	6
Family	1	1	2
Man	4	2	6
Parent	5	2	7
Woman	5	1	6
Duration	12	10	22
Hour	4	1	5
TimePeriod	5	2	7
Country	13	16	29
State	5	4	9
Professor	3	2	5
Result	3	1	4
Study	1	1	2
Teacher	5	3	8
Consumer	1	1	2
Customer	2	3	5
Price	2	2	4
ServiceProvider	1	1	2
Continent	3	2	5
Currency	2	2	4
Language	4	5	9
Double	10	9	19
Property	2	2	4
Anyuri	4	3	7
Fact	2	1	3
Source	5	1	6
Individual	2	9	11
Power	1	1	2
Unit	2	4	6
Comment	1	2	3
Community	1	1	2
Interest	2	1	3
Member	5	4	9
Role	5	7	12
Agent	6	3	9
Cause	3	5	8
Change	2	1	3
ChangeType	1	1	2
Impact	2	2	4
Data	1	1	2
Information	1	1	2
Knowledge	1	1	2
Medium	2	3	5
Address	6	1	7
Area	3	1	4
House	3	2	5
Owner	2	4	6
End	1	1	2
Process	3	1	4
Component	3	1	4
Hardware	1	1	2
Objective	1	1	2
Part	2	2	4
Software	1	2	3
System	1	2	3
Position	4	4	8
Point	3	2	5
Action	4	4	8
Organisation	1	1	2
Home	1	1	2
Resident	1	1	2
Girl	1	1	2
Pet	2	1	3
School	6	4	10
Place	10	5	15
PostalAddress	2	1	3
Job	4	1	5
Eye	3	1	4
Face	2	1	3
FacialFeature	1	1	2
Mother	3	2	5
Degree	2	1	3
Argument	1	1	2
Reason	2	1	3
Book	1	10	11
Genre	4	5	9
Gyear	4	2	6
Publisher	2	4	6
Number	2	1	3
Weather	2	1	3
Island	1	1	2
Ocean	1	1	2
Population	1	2	3
Religion	1	2	3
River	1	1	2
Sea	1	1	2
World	1	1	2
Actor	1	4	5
Battle	1	1	2
Combatant	1	1	2
Nation	1	1	2
Outcome	1	2	3
Soldier	1	2	3
War	1	2	3
Weapon	1	3	4
AreaUnit	1	1	2
Project	1	4	5
Sport	2	1	3
Task	3	3	6
Category	2	2	4
Company	4	2	6
Employee	4	2	6
Employer	3	1	4
Worker	2	1	3
Period	3	1	4
Case	2	5	7
Judge	2	5	7
Lawyer	2	5	7
LegalCase	1	1	2
XMLLiteral	2	2	4
Article	1	3	4
Court	1	4	5
CourtCase	1	1	2
Jurisdiction	2	1	3
Disease	2	3	5
Doctor	1	2	3
Hospital	1	2	3
MedicalCondition	1	1	2
Patient	1	2	3
Symptom	1	2	3
Treatment	2	3	5
Response	1	2	3
Force	1	1	2
TimeInterval	1	1	2
Classroom	1	1	2
Department	4	4	8
Skill	2	4	6
Artist	1	4	5
Artwork	1	1	2
Creator	2	2	4
Painting	1	1	2
Line	1	1	2
Destination	1	4	5
Road	1	1	2
Father	2	1	3
Idea	1	1	2
EducationalInstitution	1	1	2
Context	1	1	2
Effect	1	1	2
Branch	1	1	2
Government	1	1	2
Official	1	1	2
PoliticalParty	1	1	2
Politician	1	2	3
Authority	1	2	3
LegalRight	1	1	2
LegalSystem	1	1	2
Right	1	1	2
Auction	1	1	2
Item	1	8	9
Star	1	1	2
Whole	1	1	2
Word	1	1	2
Character	2	4	6
Setting	1	1	2
Story	1	2	3
Injury	1	1	2
Pain	1	1	2
President	1	1	2
Level	1	2	3
Equipment	1	1	2
Manager	2	1	3
Office	1	1	2
Major	1	1	2
HistoricalEvent	1	1	2
HistoricalPeriod	1	1	2
Shape	1	3	4
Recipient	1	2	3
Use	1	1	2
Water	1	1	2
WaterSource	1	1	2
SecurityLevel	1	1	2
Money	1	1	2
Transaction	1	1	2
Market	1	1	2
Supplier	1	1	2
